Comunidad_autonoma;2020;2021;2022;2023;2024;Nombre_base_datos;;;;
ANDALUCÍA;2019-12-30;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_01_20240115_20240208;;;;,
ARAGÓN;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_02_20240115_20240208;;;;
ASTURIAS;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_03_20231021_20240130;;;;
BALEARES;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_04_20240115_20240130;;;;
CANARIAS;2019-12-21;2020-12-19;2021-10-23;2022-10-22;2023-10-21;bd_sigpac_fega_05_20240115_20240130;;;;
CANTABRIA;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_06_20240115_20240130;;;;
CASTILLA-LA-MANCHA;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_07_20240115_20240508;;;;
CASTILLA-Y-LEÓN;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_08_20240115_20240219;;;;
CATALUÑA;2019-11-23;2020-11-22;2021-11-21;2023-01-16;2023-11-21;bd_sigpac_fega_09_20231121_20240318;;;;
EXTREMADURA;2019-12-12;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_10_20240115_20240130;;;;
GALICIA;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;BD_SIGPAC_FEGA_11_20240115_20240130;;;;
MADRID;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_12_20240115_20240130;;;;
MURCIA;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_13_20240115_20240208;;;;
NAVARRA;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_14_20240115_20240130;;;;
PAIS-VASCO;2020-01-24;2021-01-04;2022-01-05;2023-01-05;2024-01-05;bd_sigpac_fega_15_20240105_20240130;;;;
LA-RIOJA;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;bd_sigpac_fega_16_20240115_20240322;;;;
VALENCIANA;2020-01-02;2021-01-04;2022-01-13;2023-01-16;2024-01-15;BD_SIGPAC_FEGA_17_20240115_20240208;;;;
